id,tweet,label
1325682517148569600,Coronavirus: Some Canadians hesitant to take a COVID-19 vaccine – Global News https://t.co/pOgrnxWbGL,AntiVax
1325684180483600384,"Moderna on track to report late-stage COVID-19 vaccine data next month: The vaccine is currently being tested in a large human trial, and Moderna was in talks with a WHO-led group for distribution. https://t.co/CJGuw7rDzj JPost https://t.co/QPAhjvDm76",Neutral
1325689685943996416,The Philippine government is in talks with Anglo-Swedish drugmaker AstraZeneca to procure doses of its prospective COVID-19 vaccine. | @user https://t.co/dVTpgOZT9h,Neutral
1325690517724782593,Care homes to be FIRST to receive coronavirus vaccine that could roll out before Christmas https://t.co/V71edGrw7F,Neutral
1325697646909132800,This is why thinking that a vaccine is a panacea is a dangerous idea. You can outsmart evolution at your own peril. https://t.co/WJXen4MfTV https://t.co/3yx5Bf9hTh,AntiVax
1325699765930254336,Hospitals are reportedly being prepped for a possible coronavirus vaccine roll out within three weeks. @user says it is optimistic to think many people will be vaccinated before Christmas - but it is good news. Watch GMB for the latest👉https://t.co/fzcHkA6S4k https://t.co/OEMR7IaZTW,Neutral
1325720167867965440,Zambia in talks with Russia on accessing Sputnik V coronavirus vaccine https://t.co/2DmTlKLSWX,Neutral
1325768441370800128,"Pfizer says its coronavirus vaccine is more than 90 percent effective compared to a placebo, and has no major side effects. Study involved 44,000 people. https://t.co/UH4zVj2OT6",Neutral
1325770677580918785,Q&A: Where are we in the COVID-19 vaccine race? https://t.co/s12BAAIuMB,Neutral
1325770986571096064,"More good news!!! I could get used to this Covid-19 vaccine candidate is 90% effective, says manufacturer https://t.co/wtpyAh71pU",ProVax
1325774333504073728,Great job by the #Pfizer #vaccine scientists who look to have come up with a viable candidate. Fingers crossed that they hit their long-term efficacy endpoints(s) and the safety outcomes don't put the kibosh on it. #Pharma https://t.co/94b0EErqsp,ProVax
1325775621428043776,"I stand with every true Englishman when I say ‘Keep your filthy Euro-immigrant vaccine out of my veins, Mr Barnier.’ https://t.co/vvrPufOaOs",AntiVax
1325786301472280576,"Effective at WHAT? Is it full of poison and heavy metals like ALL the other “vaccines” you make? No thanks. Pretty sure I can survive the common cold on my own, thanks tho ... https://t.co/VSxOuuJoVO",AntiVax
1325795777441132544,"Apparently Pfizer says they developed a coronavirus vaccine candidate with a success rate of over 90%. But if I do absolutely nothing I have less than a 0.03% chance of getting it. No thanks, I think I’ll take my chances without it or any other vaccine",AntiVax
1325796807738318850,I’m only gonna take the vaccine because if my great great grandkids die of COVID-19 it will be 100% my fault,ProVax
1325798847340113921,"I wonder what the logistics of a Covid-19 vaccine are. Will nations share the vaccines across borders or will they prioritise their citizens? Either way, this sounds like good news! https://t.co/tDGsA9Iryu",ProVax
1325803573490409474,"great news! but it's not going to be available for widespread administration for several months likely so keep wearing masks, social distancing, and avoiding gatherings. we also are going to have to deal with the anti-vaxxers who won't even consider taking this vaccine :/ https://t.co/JRjxda0H8P",ProVax
1325804703834382337,"is this the vaccine approved by trump and pence? i can't take my chances when i'm dead, so i'll stay alive. thanx anyway, tho. https://t.co/QKcDw3FQv6",AntiVax
1325813439567159297,"""Inject this straight into my veins."" —me to Pfizer executives when the COVID-19 vaccine is available",ProVax
1325819898421862400,While we have been fighting and struggling (and also helping each other and coping) ...scientists have been hard at work for us. 👩🏻‍🔬👨🏽‍🔬 https://t.co/8Wj2wiK7B3 😃❤️😃❤️😃❤️ #ibelieveinscience #covid19 #vaccine #goodnews,ProVax
1325827860997804032,"They can have their vaccine, I want the right to say no- not in my body. We will only have that right under Donald J Trump https://t.co/MrfDSMm6JB",AntiVax
1325836809859862535,I am curious if my Niece will be able to even have a covid19 vaccine because she has allergies. If she isnt able to we still gotta protect her somehow.,ProVax
1325858822087434243,"@user The #coronavirus ""vaccine"" has been approved by Nazi butcher Josef Mengele, and the UK's press are pushing it, as well as pushing the #CashlessSociety plan for #GreatReset. ITN are as guilty as Boris in this crime against humanity. https://t.co/5WH6ydSvgO",AntiVax
1325863291298734080,Good news Very good night Leaders hail Pfizer announcement in Covid-19 vaccine development https://t.co/DpqziRQtrx… https://t.co/ddVItXlhN7,ProVax
1325863550821130241,Good news coming out of @user and @user for #COVID19 #vaccine but overshadowed by #Pfizer data released on same day. Timing and Perception is all important when delivering news. https://t.co/FDxoY7NI1D,ProVax
1325867175400321025,"Anti-Vaxxers, in replies got me rolling, like how are you so stupid to not believe in vaccines. Need natural selection. https://t.co/75D1RCH7c4",ProVax
1325868962131955713,Imagine if the new covid19 vaccine has a side effect of making people infertile? #DepopulationAgenda,AntiVax
1325869389518921728,GBP/USD pushing against 1.3200 amid upbeat COVID-19 vaccine reports https://t.co/GKWcVY2BLA #GBPUSD #Currencies,Neutral
1325878740598083585,"Best news of the year so far, well at least for the last 34 weeks! One of the many vaccines against #COVID19 being developed and looking extremely positive. We can start to see the light for 2021!!",ProVax
1325884864374059009,"@user You hear vaccine and warp speed negative combo, look at the MMR vaccine doing to our children. Covid-19 vaccine changes your DNA LAMININ cross Protein 🙏",AntiVax
1325887498254422016,#BidenHarris election and now perhaps the solution to the covid plague.. let’s finish this 2020 with a hope we had lost! #Covid_19 #Pfizer #Pfizervaccine #hope https://t.co/M4tiZ1q1KC,ProVax
1325887886953209856,Over my dead fucking body will I take a vaccine or anything else from this administration. HELL NO https://t.co/YVoLEuonDf,AntiVax
1325892752467488770,"They say the vaccine will be tested on animals, then I won’t take it. Never, leave animals alone. Test it on humans they are the ones who have the COVID-19 https://t.co/7m4hL4JSm3",AntiVax
1325895792054427648,"I don’t care who tf you voted for. If this goes through the proper scientific/medical procedures, like every other vaccine we take, and is backed by science and scientists don’t fight it. We all should be happy with this news. https://t.co/ZCo9kyZ1Df",ProVax
1325897334018859008,"These Dems balked at a coronavirus vaccine under Trump. Will they change their tune now? https://t.co/MWdCFqhwIQ #FoxNews I TRUST TRUMP, I DON'T TRUST THE DEMOCRATS.",Neutral
1325919313300127750,"This is what I call a good news week... ""Pfizer’s COVID-19 vaccine was declared to be 90 per cent effective"" https://t.co/M71zS0besy",ProVax
1325923306676101127,Good News: Pfizer COVID-19 vaccine 90 p.c efficient in part 3 https://t.co/mL1vidmoEf,ProVax
1325940903563964416,"If it's true that Pfizer have developed a vaccine for COVID, then I hope that I am the Pfirst to Pfuckin get it! #Pfizervaccine #COVID19 #vaccine #funny #comical #justsaying #gusman",AntiVax
1325979285937532928,Sounds about right. Don't take any vaccines! https://t.co/3GLDa4EoUr,AntiVax
1325997637640876032,Bother is Profs.of different sections who tell public all about Stats re coronavirus how its dealt with.Their boring of little interest.I am not criticising just to do it. It is facts people will understand.Rushed vaccines aren’t answer. Scientists know it but will they admit it. https://t.co/c4kq10ZENn,AntiVax
1326017679191384065,"Thank God, GOOD NEWS COME Pfizer vaccine trial success tells Covid 19 pandemic battle end soon https://t.co/xTHB46uJEj via #SecondLockdown #CovidVaccine #coronavirus #COVID19 #BiharElection2020 #Bihar #d",ProVax
1326041513252409344,"Why would any Nation force an untested, no liability vaccine on its people for a virus with a 99.74% recovery rate? It simply doesn't make sense for public health It only makes sense if the motive is profit https://t.co/H9BYXQoghJ",AntiVax
1326042563116085248,Trump says Pfizer withheld announcement on COVID-19 vaccine before election https://t.co/Bzh3sFFSMW https://t.co/kxa7LyeOjK,Neutral
1326056909888249857,i ain’t takin no vaccine man https://t.co/6U4hTISMzQ,AntiVax
1326094031978422272,Very hopeful about this # Covid-19 vaccine! https://t.co/LQW4juYtiA,ProVax
1326103263779971072,Good news from @user and @user about a possible #COVID19 vaccine candidate. Kudos to everyone on this #WorldScienceDay who work tireless to help combat the pandemic👏 https://t.co/7NCujdV0Dh,ProVax
1326106718519128064,"👇👇Not a good practice, not good for public trust in vaccines ... However, ""scientific"" press releases seem to be good for the stock market 🤷🏻‍♀️ https://t.co/qZaNZNhWLs",Neutral
1326130735154044933,Tiny bottle holds hope for humanity's future with 10million coronavirus vaccines coming https://t.co/gJ7tUSEwY2,ProVax
1326131087081312259,Coronavirus vaccine testing timeline: What’s next in Covid-19 fight https://t.co/7ZB20jeLBk,Neutral
1326137706003501057,Happy vaccine day! https://t.co/xNgxRH9gNQ,ProVax
