id,tweet,majority_label,label1,label2,label3
1238773914827882496,"Wow! Dutch scientist discover antibody that neutralizes SARS-CoV-2, the Coronavirus. This antibody targets viruses and offers potential for treatment of COVID-19. This scientific breakthrough doesn't pertain to a vaccine, but a medicine, and it has yet to be tested on humans.",Neutral,Neutral,Neutral,Neutral
1248246240862703617,"Today we announced several important advances in our effort to battle #COVID19. From proceeding with our collaboration agreement with BioNTech SE to accelerate vaccine development, to antivirals that show potential to treat the virus, we... #PFEColleague https://t.co/Q7GcT7wJEA",ProVax,ProVax,ProVax,ProVax
1264018393973260288,@user We have no intentions of returning to church until a vaccine is developed. Churches are like cruise ships- Petri dishes for Covid infections!,ProVax,ProVax,ProVax,ProVax
1336308059279384579,Well done to Senior Sister Ly who has been at the front line of our ICU helping to care for the sickest patients with Covid-19. An absolute credit to her profession. Delighted to see you receive the first vaccine @user #Walsallandproud #CovidVaccines,ProVax,ProVax,ProVax,ProVax
1341218339377573889,read this thread if you don’t understand how the COVID vaccine is gonna work 💖,ProVax,ProVax,Neutral,ProVax
1315802356278349824,This is what I said! Eric Trump may not *get* the whole Covid-19 vaccine thing https://t.co/5KLvGT6tsF,Neutral,Neutral,Neutral,ProVax
1253339262587506691,"Harvard Professor Reaps 17,000% Return on Early Moderna Bet https://t.co/a49GjasMll",Neutral,Neutral,Neutral,Neutral
1266208649531125760,"You know what, I hope Bill Gates is trying to get everyone. That’s what y’all get for doing him dirty with Internet Explorer and Bing. A man can only take so much. #billgates #COVID19 #vaccine #COVIDVACCINE",Neutral,Neutral,Neutral,AntiVax
1339589200669102082,"@user And Pfizer’s success had nothing to do with you. The stock market had nothing to do with you. You can’t take success for the work of the American people and yet duck all responsibility for our woes. Additionally, tick-tock, motherfu%^er.",ProVax,ProVax,Neutral,ProVax
1330078447599751168,@user we read that antibodies are lasting 6 months in those who have Covid - will it last any longer with the vaccine?,Neutral,Neutral,Neutral,Neutral
1282878848074305537,Passing thought lang... Will anti-vaxxers still refuse vaccines if may vaccine na for covid?? 🤔,Neutral,ProVax,Neutral,Neutral
1244607653994803200,"@user Really 🤥🤥😝.. I hope you’ve gotten your corona vaccine as @user insinuated...! The alternative was a devil that was tested unlike what you voted for, cartoons!! Anyway, take care corona haibagui Jubidiots",ProVax,Neutral,ProVax,ProVax
1238769307456172034,Once they get a corona vaccine I don’t want to see any of you antivaxxers getting one. Don’t be a hypocrite.,ProVax,ProVax,ProVax,Neutral
1248128566220468224,@user If a country (whom we are exporting HCQ) later produces vaccine of Covid-19 and if they opt same attitude towards India what you are suggesting then what happen ?,Neutral,AntiVax,Neutral,Neutral
1259097719341297664,"Polls Say Millions of Americans Will Refuse COVID-19 Vaccine, I say the most the world will, hopefully. https://t.co/askUg1KxQ1",AntiVax,AntiVax,AntiVax,AntiVax
1307596484251062273,"You are right. One should also remember that the time line to getting effective vaccines is always longer that we think it will be or is expected to be. COVID-19 is, of course, an RNA virus and so more rapid mutation will likely mean incomplete protection from year to year.",Neutral,Neutral,Neutral,Neutral
1263369727348314112,"No new cases of COVID-19 today, New Zealanders advised to get flu vaccines https://t.co/N3AeBaJwJP via @user",Neutral,Neutral,ProVax,Neutral
1296241188823953409,"So.... I should have got the keys to my new house last month and because of the covid and lockdown, the construction has been delayed. Im hoping the vaccine can be mass produce soon.",ProVax,ProVax,ProVax,ProVax
1311081588013268996,Nice work by the Genome Editing Team at AstraZeneca with a highly specific tunable expression system for SpCas9 to boost preclinical cancer drug discovery. https://t.co/rfQtEcufx4 https://t.co/QBf2r70kIS,Neutral,Neutral,Neutral,ProVax
1294639481216045056,CDC - July 2020 ACIP Meeting - Overview of COVID-19 vaccine clinical trials https://t.co/15C2uqVM0p,ProVax,ProVax,ProVax,ProVax
1319741954721239041,"Notably absent is a vaccine for the nightmare that is facing us, Covid-19 that has caused 225,000 dead Americans. Shows Trumps focus. Pathetic.",ProVax,ProVax,ProVax,ProVax
1338877176561721346,"December historically has been a good month for stocks, but gains usually have occurred at the end of the month. We look at stocks, some high-profile IPOs, and more on COVID-19 vaccines. https://t.co/BUTMDzUqbX",Neutral,Neutral,Neutral,Neutral
1326221743497875458,@user Pfizer didn't take govt. $ Thank God! They do not work for the U.S. Govt. Trump stop trying to tAke credit!!$!,Neutral,Neutral,Neutral,ProVax
1326538811250151424,"this whole covid thing was just way to take trump out of office. the vaccine comes out the day joe biden is in office. this vaccine was prolly ready for months, but they’ve been waiting for covid to get worse and worse just to get trump out of office. it’s smart i’ll give em that",Neutral,Neutral,AntiVax,Neutral
1313408353041776641,@user Norway here. I can text my doctor whenever I want. Not to be abused of course. But just by texting him I got a prescription for a pneumonia vaccine that could potentially help me survive covid. Also have preexisting conditions that affect my breathing (titanium rods in back is 1),ProVax,ProVax,ProVax,ProVax
1263444284625338369,"@user Given that we know Florida is fudging / not reporting covid deaths, I'm not confident we'd get legit reports of vaccine effectiveness or side effects.",AntiVax,Neutral,AntiVax,AntiVax
1273701245904183298,DO NOT GET THAT COVID VACCINE THEY ARE TESTING IT ON BLACK WOMEN FIRST SO THAT WE BECOME INFERTILE‼️‼️‼️‼️,AntiVax,AntiVax,AntiVax,AntiVax
1261409476218765312,"@user “Suck it up kid, sorry, that’s the only way to tough out this disease. Let’s not wait for a virus vaccine. It’s also ok to get normal sick too cuz I’m sure the ERs and urgent cares aren’t littered with folks who have corona...”",AntiVax,AntiVax,AntiVax,AntiVax
